title|authors|year|isbn|isbn source file|
Electrical feed drives in automation|Hans Gross|2001|9783895781483|isbns-scatolone4.txt|
Modellistica e controllo dei servomeccanismi di posizione con motori a magneti permanenti|Gianni Ferretti, Gianantonio Magnani|1999|9788837111465|isbns-scatolone4.txt|
Principles Of Power Electronics|Kassakian|2009|9788131733202|isbns-scatolone4.txt|
C and the 8051|Thomas W. Schultz|1998|9780135211212|isbns-scatolone4.txt|
Elettronica di potenza. Convertitori e applicazioni|Vv.Aa.|2021|9788820334284|isbns-scatolone4.txt|
Dynamics and Control of Electrical Drives|Piotr Wach|2011|9783642202216|isbns-scatolone4.txt|
Azionamenti elettrici di avanzamento nell'automazione industriale|Hans Gross, Jens Hamann, Georg Wiegärtner|2002|9788848111713|isbns-scatolone4.txt|
Digital control systems|Yoan D. Landau|2005|9781846280559|isbns-scatolone4.txt|
The Quintessential PIC® Microcontroller (Computer Communications and Networks)|Sidney J. Katzen|September 16, 2003|9781852333096|isbns-scatolone4.txt|
Vector control and dynamics of AC drives|D. W. Novotny|1996|9780198564393|isbns-scatolone4.txt|
Programming and Interfacing the 8051 Microcontroller in C and Assembly|Helen Emery, Sencer Yeralan|December 23, 2000|9780963325716|isbns-scatolone4.txt|
Decentrare con Profibus-DP. Struttura, progettazione e impiego del Profibus-DP con Simatic S7|Josef Weigmann, Gerhard Kilian|2001|9788848111492|isbns-scatolone4.txt|
Progetto e costruzioni di gallerie|Pietro Lunardi|2006|9788131206782|isbns-scatolone4.txt|
Bus di campo a confronto|Robert Busse|1998|9788848104937|isbns-scatolone5.txt|
L' informatica|Luciana Zou|1995|9788879838818|isbns-scatolone5.txt|
La programmazione dei microchip a 8 bit|Guido Galletto|2002|9788883010460|isbns-scatolone5.txt|
Inductance calculations|Frederick W. Grover|2009|9780486474403|isbns-scatolone5.txt|
Fundamentals of electric drives|Mohamed A. El-Sharkawi|2000|9780534952228|isbns-scatolone5.txt|
Controlli automatici|Bissel C. C.|1997|9788825610543|isbns-scatolone5.txt|
Anime scalze|Fabio Geda|2017-04-11|9788895990606|isbns-scatolone5.txt|https://www.amazon.com/Automazione-elettronica-cablata-PLC/dp/8895990609
The microcontroller beginner's handbook|Lawrence A. Duarte|1996|9780790610832|isbns-scatolone5.txt|
